Metric,Value
Minimum (Q0),0.10712790310517209
Q1 (25%),0.1266184721823807
Median (Q2),0.1417974730919434
Q3 (75%),0.15249555241206575
Maximum (Q4),4.170840970328406
IQR (Q3 - Q1),0.025877080229685046
Lower Bound,0.08780285183785314
Upper Bound,0.19131117275659332
Outliers,4.170840970328406
