DOY,RMSE_E,RMSE_N,RMSE_U
198.0,0.21472260414894842,0.26993915510660427,0.12650439493780738
16.0,0.25398582102051526,0.2874154843799918,0.17442757124376068
198.0,0.21626583519454814,0.3936301042713259,0.15458416538000488
16.0,0.19101012028278122,0.342844372828017,0.13145953831590007
198.0,0.158614753239805,0.25386688308413663,0.0549228080004937
16.0,0.12459684976118339,0.268175789454022,0.04763229893743885
198.0,0.3169033455859021,0.39073595304702546,0.2522703633935157
16.0,0.36332360524892865,0.407579365942915,0.26072883522206974
198.0,0.3581496491778933,0.27964768807011886,0.11698489205026713
16.0,0.35099689222047503,0.27006897236391814,0.1045495221026089
198.0,0.15461864212000004,0.3329951059546107,0.2097610147701072
16.0,0.16375038643166337,0.2967891435675425,0.20020360236868986
198.0,0.2501711981393017,0.28660201414214775,0.18761513611286648
16.0,0.26176537049857496,0.3010454888689512,0.21210443477276678
198.0,0.15014357358050034,0.3651416698700342,0.06839464073051864
16.0,0.1439698970999047,0.292462970572402,0.053088268158918886
198.0,0.28692739343186674,0.2919329785076679,0.13451867890278724
16.0,0.26603107106629803,0.24937923677269883,0.12039047182384498
198.0,0.3287331957322529,0.3972653173844369,0.2577991108661315
16.0,0.33512165207215494,0.4244911820614924,0.2877177831277232
