DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.1297703973016033,0.07214639433989214,0.33625488051560753,0.14976273489020794
16.0,0.12011389176832322,0.09955372647079544,0.39229670575261016,0.15636036767934391
198.0,0.09172937990251977,0.06353733023108435,0.46134518925714285,0.11177342725300195
16.0,0.08858195386494147,0.05895922841879017,0.40113036561644505,0.10675801437655341
198.0,0.08017324189030854,0.053381007892611784,0.28360838196812443,0.09674929426043632
16.0,0.11647920134861098,0.04307882044972443,0.274699446878507,0.12553770455445706
198.0,0.1625845014010042,0.093122813589367,0.5304903729002883,0.18751000314746089
16.0,0.16818819564373888,0.09297862241322265,0.5756371958787219,0.19241571520754852
198.0,0.11195174422947438,0.0680405473949934,0.45124355753948503,0.13124626862391955
16.0,0.08721285176600363,0.0635996080621054,0.44269341435602466,0.10916222294620721
198.0,0.1440284379409106,0.0698009266968997,0.3911281345548728,0.16018222251302683
16.0,0.13653322599582926,0.07352230567329386,0.3636493111115135,0.1561242220846363
198.0,0.1368416394441355,0.10190696283852671,0.39210873054092765,0.17151373010254609
16.0,0.12909511033858362,0.10820185035328068,0.42251504339615886,0.16870228272748705
198.0,0.113593174234534,0.0684055794469242,0.37606257308312546,0.13355796477786228
16.0,0.09662470162293468,0.053156433853355986,0.31241890333295075,0.11050270090162256
198.0,0.11514225028406345,0.06959018641874211,0.4091516960638378,0.13469921083272693
16.0,0.09167495721439278,0.06856204520765057,0.36747864025259885,0.11481089347329257
198.0,0.17104195724547097,0.12596174425323453,0.5429883284904792,0.21382092498857816
16.0,0.183033408525105,0.13434056044314488,0.5743497781818346,0.22820090345172347
