Estacao,Periodo,DOY,DataReferencia,RMSE_X,RMSE_Y,RMSE_Z
BRAZ,VERAO,1,2020-01-01,0.1800902404055773,0.15941142320071294,0.11058253888158459
BRAZ,VERAO,4,2020-01-01,0.202168249873434,0.1803222730097951,0.11481272314957255
BRAZ,VERAO,30,2020-01-29,0.21895587522584714,0.1972503784976784,0.12476614967640463
BRAZ,VERAO,13,2020-01-15,0.12907226859814203,0.15439237941373316,0.10310700378317772
BRAZ,VERAO,22,2020-01-22,0.2106419404631954,0.19441814671116886,0.1256561570009943
BRAZ,VERAO,17,2020-01-15,0.16834447497358868,0.1555714483276082,0.09717132842302303
BRAZ,VERAO,12,2020-01-15,0.16668898694195053,0.17320709014603236,0.11055408567663055
BRAZ,VERAO,5,2020-01-08,0.160956478496895,0.13539794982993758,0.09389304539301127
BRAZ,VERAO,15,2020-01-15,0.1483952797468452,0.19069818120124443,0.1271301185254803
BRAZ,VERAO,11,2020-01-08,0.16971456720444436,0.18767690187352679,0.11884272089444203
BRAZ,VERAO,19,2020-01-22,0.176608114086964,0.17064688006706832,0.11455859513398993
BRAZ,VERAO,7,2020-01-08,0.2155036691121502,0.21089145447218638,0.11410879831770496
BRAZ,VERAO,21,2020-01-22,0.14899559622396463,0.1337368510471402,0.10354814390938497
BRAZ,VERAO,3,2020-01-01,0.1923831060032348,0.1941089814067091,0.11307294284558402
BRAZ,VERAO,16,2020-01-15,0.16472048287436086,0.16885097913131358,0.11656228967878236
BRAZ,VERAO,14,2020-01-15,0.1334386616468627,0.16476775312924447,0.10570687481040439
BRAZ,VERAO,28,2020-01-29,0.19273202886339666,0.18764464796638444,0.10897669173065491
BRAZ,VERAO,23,2020-01-22,0.160192493732213,0.16348450156814578,0.10805707161646291
BRAZ,VERAO,20,2020-01-22,0.1683234115774201,0.14973643151942917,0.11873208357154184
BRAZ,VERAO,2,2020-01-01,0.18163092595284822,0.18478131561512567,0.10458961454973764
BRAZ,VERAO,31,2020-01-29,2.6304641808877776,3.669094749643784,2.0895348136452956
BRAZ,VERAO,26,2020-01-29,0.13804283914838394,0.15577138224286163,0.09478747097320941
BRAZ,VERAO,6,2020-01-08,0.18897447592631225,0.18020909990373685,0.09545312502671388
BRAZ,VERAO,9,2020-01-08,0.16838200945419704,0.15887530823336837,0.10195791941666994
BRAZ,VERAO,27,2020-01-29,0.16211439315901868,0.17934180914888398,0.11046380906110652
BRAZ,VERAO,29,2020-01-29,0.18825008814053792,0.2058196604977477,0.12162613290424064
BRAZ,VERAO,24,2020-01-22,0.1633834991621203,0.1653903652421918,0.11189031940587
BRAZ,VERAO,18,2020-01-15,0.16786077843336453,0.155239485514404,0.10584962163491338
BRAZ,VERAO,10,2020-01-08,0.2636878449620178,0.2653293591098282,0.1500805412335072
BRAZ,VERAO,8,2020-01-08,0.1415428520294693,0.14366175811387671,0.0911487978819002
BRAZ,VERAO,25,2020-01-22,0.17130063832943804,0.17415106999487795,0.10003317980458601
CUIB,VERAO,23,2020-01-22,0.12836429333369784,0.2095198814929141,0.08141824207867776
CUIB,VERAO,21,2020-01-22,0.11996328866838198,0.18074211577367563,0.05524136501062184
CUIB,VERAO,4,2020-01-01,0.13395456987344131,0.21068118179715312,0.08283248268574107
CUIB,VERAO,15,2020-01-15,0.1394302511421093,0.20276310320925853,0.07146266806037897
CUIB,VERAO,16,2020-01-15,0.12370747973665279,0.2134542948404421,0.08092842759831227
CUIB,VERAO,2,2020-01-01,0.1324582975015469,0.18940924686845934,0.05816496131763427
CUIB,VERAO,5,2020-01-08,0.13564679535215188,0.2373032413447885,0.08516086259665696
CUIB,VERAO,12,2020-01-15,0.13106395283694447,0.19391764346422402,0.05922906486212183
CUIB,VERAO,7,2020-01-08,0.11944087404776434,0.19888533972293462,0.06397325880110287
CUIB,VERAO,31,2020-01-29,2.152638548360839,4.742406572077665,1.9903898791868886
CUIB,VERAO,25,2020-01-22,0.1070763353895417,0.15193206913792667,0.0577456710970742
CUIB,VERAO,1,2020-01-01,0.11682326146823187,0.19539436200302468,0.06077893085636367
CUIB,VERAO,14,2020-01-15,0.1631545637421811,0.24641625564510775,0.09235598650646515
CUIB,VERAO,17,2020-01-15,0.06180105125272265,0.112135984144494,0.03233176491789441
CUIB,VERAO,24,2020-01-22,0.1361258707207836,0.19502682370300414,0.08754653107293532
CUIB,VERAO,22,2020-01-22,0.12353834883732452,0.20244928719404387,0.07843956218261657
CUIB,VERAO,27,2020-01-29,0.16301930378740456,0.22917146026165938,0.09567125403881166
CUIB,VERAO,6,2020-01-08,0.10790395698299544,0.20109449030959684,0.07323184579452284
CUIB,VERAO,8,2020-01-08,0.11411532576726903,0.17099535853011597,0.05529636907476733
CUIB,VERAO,11,2020-01-08,0.12183678263341956,0.21154453707971196,0.06699696583908436
CUIB,VERAO,30,2020-01-29,0.126847863277568,0.177372261022939,0.07564792940978368
CUIB,VERAO,28,2020-01-29,0.07269706228868689,0.1438792743494952,0.04603482788377555
CUIB,VERAO,20,2020-01-22,0.09142284290626275,0.13273160711739498,0.03965740061840009
CUIB,VERAO,10,2020-01-08,0.14359863426914862,0.2110211040069524,0.07061603199286322
CUIB,VERAO,9,2020-01-08,0.12758977919434109,0.2062569271764297,0.07118302658354718
CUIB,VERAO,3,2020-01-01,0.15386238972918567,0.23934852429490097,0.07662294161021663
CUIB,VERAO,19,2020-01-22,0.11923096586396525,0.18827769464432895,0.05942926683570966
CUIB,VERAO,26,2020-01-29,0.14588143395991443,0.18858628328456176,0.08147081772179258
CUIB,VERAO,18,2020-01-15,0.12190012762943606,0.1952511222219427,0.06743868456577116
CUIB,VERAO,29,2020-01-29,0.15458858276761506,0.2271516351407015,0.08611319807328285
CUIB,VERAO,13,2020-01-15,0.13163089544468973,0.22305587580868014,0.07183546891908767
UFPR,VERAO,13,2020-01-15,0.2817850371017951,0.3285885768965956,0.21308644697162826
UFPR,VERAO,27,2020-01-29,0.24107084204321866,0.24643672210886344,0.16405782803777463
UFPR,VERAO,12,2020-01-15,0.29783333650786253,0.33366525941701464,0.22116531265180348
UFPR,VERAO,26,2020-01-29,0.29067346705954994,0.30148078880040813,0.18562655351829624
UFPR,VERAO,14,2020-01-15,0.2859104307258436,0.3144583733207873,0.21713493919765756
UFPR,VERAO,31,2020-01-29,1.9581866936545038,4.263577840340395,2.854815008685899
UFPR,VERAO,4,2020-01-01,0.2614866566785734,0.27668299562346527,0.1877345143930451
UFPR,VERAO,1,2020-01-01,0.282090264786056,0.2906982412401355,0.2001716623879905
UFPR,VERAO,30,2020-01-29,0.282470286817667,0.3052129294478703,0.20308094799930107
UFPR,VERAO,28,2020-01-29,0.2576210591446863,0.26862130189628003,0.1824989016383801
UFPR,VERAO,3,2020-01-01,0.26490407378648884,0.29657100701898254,0.19330099094043066
UFPR,VERAO,5,2020-01-08,0.3249460343374731,0.30359258817510654,0.21760059082049318
UFPR,VERAO,20,2020-01-22,0.30883486890134104,0.3506500157157911,0.2404971785228772
UFPR,VERAO,17,2020-01-15,0.29071354367456315,0.3118746608250169,0.21054523666801234
UFPR,VERAO,23,2020-01-22,0.26693899202552884,0.28680655963599205,0.19289057831430814
UFPR,VERAO,21,2020-01-22,0.33209138185587134,0.34499918684825376,0.23107261314220554
UFPR,VERAO,2,2020-01-01,0.27891645740053456,0.2765943018724036,0.1884489325114354
UFPR,VERAO,29,2020-01-29,0.2903810637687842,0.30918686208013046,0.20874174407899646
UFPR,VERAO,25,2020-01-22,0.2658213304816945,0.2990231494491818,0.20305883452310022
UFPR,VERAO,19,2020-01-22,0.31162358988173877,0.32969868560637994,0.21990240682542792
UFPR,VERAO,10,2020-01-08,0.22994855576589215,0.2417111665160499,0.16278192982146514
UFPR,VERAO,18,2020-01-15,0.26033810655214656,0.2998262288546481,0.20592308292772274
UFPR,VERAO,11,2020-01-08,0.24573398389993956,0.26830031659848963,0.18392914593172047
UFPR,VERAO,8,2020-01-08,0.273183156206273,0.2832490615842409,0.21139954406038874
UFPR,VERAO,22,2020-01-22,0.29520560331676393,0.2927289224945295,0.2049458086697392
UFPR,VERAO,6,2020-01-08,0.29169421493759107,0.2780838166302641,0.19848470223621234
UFPR,VERAO,24,2020-01-22,0.26987306850427845,0.2798919647897613,0.19221971401286844
UFPR,VERAO,15,2020-01-15,0.258610985336025,0.28433923846516546,0.21524311905926868
UFPR,VERAO,16,2020-01-15,0.3253255958868023,0.33882335976681405,0.23650276713941695
UFPR,VERAO,9,2020-01-08,0.305636050810727,0.2811180256846935,0.1853365364807096
UFPR,VERAO,7,2020-01-08,0.2589224823865893,0.27273449620255324,0.1870537047908445
NAUS,VERAO,1,2020-01-01,0.10652335438477703,0.10240589674345237,0.029569394591377276
NAUS,VERAO,10,2020-01-08,0.059498032335510036,0.08477485417877896,0.027980631426613035
NAUS,VERAO,4,2020-01-01,0.08935656289450117,0.07476070658005508,0.03300087897179415
NAUS,VERAO,12,2020-01-15,0.06918670416323025,0.11131751796417909,0.032034919520890985
NAUS,VERAO,8,2020-01-08,0.06526057906511998,0.10493896833468053,0.03382876701021575
NAUS,VERAO,20,2020-01-22,0.052246363805198835,0.07556630226712575,0.026474960942583666
NAUS,VERAO,28,2020-01-29,0.07847320463454409,0.1416425690244407,0.034941927378140974
