Metric,Value
Minimum (Q0),0.06429862973653762
Q1 (25%),0.13843027022371407
Median (Q2),0.17440154714413975
Q3 (75%),0.22277478452852933
Maximum (Q4),5.441160396098148
IQR (Q3 - Q1),0.08434451430481527
Lower Bound,0.01191349876649117
Upper Bound,0.34929155598575223
Outliers,"3.669094749643784, 4.742406572077665, 4.263577840340395, 0.3506500157157911, 5.441160396098148, 4.71907481142459, 3.7623120230486493, 4.2421602719857745, 0.3601959862870392, 0.35737850068160876, 4.266966316482481, 3.6113446440743506, 4.066376841375024"
