Estacao_,Mes_,Tempo_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,2020-01-01,0.3852945864670564,9.784829772135119,-56.017155,63.775393,1.4041141347588701,11.366765874205065,-52.093639,64.436557,2.508833992099858,1.5384412572976103,1.00264,7.645292,2.5321987225952847,1.5827067743154253,1.002643,7.921035,2.531836603864925,1.5820379853774564,1.002648,8.377776,2.0255816110540543,0.0004709703641143673,2.024006,2.027373,0.23267156574235004,0.016354430431606774,0.129564,0.356482,2.2582531754007125,0.016396920094621473,2.155484,2.381406,-0.0004689354909499482,0.0020160355507892968,-0.00625,0.004328,9.573914608240729e-06,0.0018585338931753998,-0.004572,0.003581,5.671991197472832,3.488063324263009,2.254659,17.862144,5.671991197472831
BRAZ,VERAO,2020-01-02,0.38638602911791414,9.790657556941355,-64.185068,63.848974,1.3663684995013445,11.223588460701725,-51.75632,64.496407,2.50282607006999,1.5298031718680833,1.002664,7.645057,2.5259290326352155,1.573684897106192,1.002668,7.920778,2.527216665851899,1.5777189509508698,1.002633,8.435783,2.025528291637727,0.00041659795128200645,2.023552,2.027392,0.2524710656577799,0.019964731995310996,0.078071,0.302042,2.2779993528298697,0.019983273199835366,2.103831,2.327253,0.0006523790716104789,0.0014662467384890837,-0.002936,0.004819,0.0017982057799504907,0.002153042901298103,-0.001325,0.009515,5.708546805653506,3.500082527768672,2.288807,17.884669,5.708546805653506
BRAZ,VERAO,2020-01-03,0.3790828260414835,9.802603349519854,-57.276851,64.02408,1.3950143703155211,11.35612899934209,-52.118957,64.328956,2.507156741338548,1.5381534239044123,1.002688,7.644644,2.530499622899455,1.582479790786138,1.002692,7.920328,2.5312602553831955,1.584683763830817,1.002678,8.178986,2.0255081883107753,0.0004071319602619998,2.023979,2.02734,0.2554666258701002,0.01786130390851703,0.029244,0.280327,2.280974810647741,0.0178935431306205,2.054835,2.305546,0.0004901969634382141,0.0018782464900137384,-0.003895,0.005988,0.000143074833011074,0.0010692193146096165,-0.003698,0.003203,5.725151506859729,3.5212159330711077,2.278757,17.680553,5.72515150685973
BRAZ,VERAO,2020-01-04,0.3780239301124465,9.774727262430103,-57.547669,64.046116,1.3976137139651927,11.34149216835957,-52.243581,64.385096,2.504393995767857,1.5358873291955883,1.002714,7.64541,2.5276546969222373,1.5801345877543305,1.002717,7.921175,2.527982761257853,1.5811705054969656,1.002655,8.090146,2.025477510026044,0.00038496857170167576,2.024237,2.027103,0.26423416357981244,0.025357746158917175,-0.020264,0.302578,2.2897116724444366,0.025372162763750115,2.004936,2.327799,0.00047360600594787685,0.0013095112471856224,-0.002253,0.003369,-0.00019365919809245606,0.0011825201540752212,-0.003055,0.002952,5.7398611406461715,3.52687816537665,2.223608,17.843203,5.7398611406461715
BRAZ,VERAO,2020-01-05,0.3635823742804331,9.773447290239167,-54.033923,64.202322,1.3926540672520025,11.361104985455574,-52.355444,64.499376,2.504313729728897,1.536562933327586,1.002739,7.645459,2.527591258383945,1.5808837689571387,1.002743,7.921235,2.530734599383857,1.5907085278182662,1.00292,8.469884,2.025430666068128,0.00034614391679523856,2.023718,2.026912,0.26562998421793854,0.019654907437474736,0.013961,0.301808,2.291060651403926,0.019655841904326985,2.039555,2.3265,0.0016624697605844556,0.0032815096910005243,-0.006209,0.007473,0.0020572420737611126,0.001484802283602924,-0.001595,0.006261,5.744594627189508,3.5350177697685736,2.24181,17.934039,5.744594627189508
BRAZ,VERAO,2020-01-06,0.3391260403585055,10.010436096243113,-54.698766,64.26604,1.5408492649135208,11.514244533151572,-52.452619,64.326986,2.536179404873041,1.5548337314336007,1.002766,7.643318,2.5602612585074853,1.599907575125959,1.00277,7.918867,2.565027690646123,1.6127815487987986,1.002749,8.434038,2.025525405158722,0.0004046323420162938,2.024053,2.027217,0.24115771633321065,0.029180460695287156,-0.125857,0.298894,2.2666831230849684,0.02921096728327552,1.899937,2.32428,0.0037208745182158004,0.0021134480203120727,-0.000499,0.00753,-0.0005294188229939378,0.002583227100124945,-0.006995,0.003429,5.7560049698921185,3.5396133804118337,2.06722,17.600819,5.756004969892118
BRAZ,VERAO,2020-01-07,0.34548607875427223,9.766590765758208,-54.393843,64.289305,1.4183265247921144,11.382789936745858,-51.921715,64.344954,2.503863641983193,1.5372280943647632,1.002794,7.645824,2.527154489332652,1.5816356998000511,1.002798,7.921642,2.52712896677795,1.58298134970803,1.002943,8.240486,2.0255369582158838,0.0004043982222853304,2.024448,2.027508,0.25319629854039677,0.019508915855740796,0.048409,0.296543,2.2787332523122865,0.019549941915447445,2.074258,2.321752,0.0007525163709876326,0.0013501877810730438,-0.002419,0.004921,0.00047405538916881016,0.00223326630797121,-0.00375,0.004902,5.712670915097248,3.518303328042598,2.224252,17.89217,5.712670915097249
BRAZ,VERAO,2020-01-08,0.3361144386535512,9.715772312567987,-54.065411,64.334401,1.4292521622904437,11.364570088693306,-51.263816,64.306298,2.5016090633252244,1.534147726387675,1.002823,7.645098,2.524800582967546,1.578367516991357,1.002827,7.920837,2.52200299543868,1.5722697976359092,1.002726,8.252106,2.025515153692245,0.00040927794125647743,2.02427,2.027223,0.2545268886905706,0.03148005868009625,-0.11108,0.359385,2.280042035992561,0.03146249898740231,1.914727,2.384791,-0.0015859115632767466,0.00154113172314671,-0.006539,0.001522,0.0008737492816471874,0.0022615767356913563,-0.003453,0.006698,5.708446020982072,3.507408959937373,2.038818,17.823897,5.708446020982071
BRAZ,VERAO,2020-01-09,0.41178300376552723,9.564985276012182,-53.236236,64.299101,1.394784098209381,11.383627005377535,-52.176544,64.452425,2.4920364304130564,1.5288120825409635,1.002852,7.645648,2.514992718688533,1.572803901491704,1.002856,7.921446,2.5136092163937764,1.5699435226106342,1.002667,8.571491,2.0254901408041395,0.0003981527617900035,2.02416,2.027473,0.2357626199431184,0.018239357881680004,0.119771,0.280524,2.261252760020733,0.018216091474069097,2.145266,2.305719,-0.00042323944766360107,0.00416260168938177,-0.006085,0.010875,-0.0015584419444296775,0.002149830910807577,-0.008672,0.004981,5.640357524848049,3.4672486094490753,2.267903,17.766869,5.640357524848049
BRAZ,VERAO,2020-01-10,0.30869041144004233,9.593554683046642,-54.046605,64.202644,1.4365381432056825,11.401941336717561,-51.991712,64.483909,2.4986119608885557,1.530771538116567,1.002882,7.645277,2.5216888668490247,1.5747956058067898,1.002886,7.921042,2.517722414771023,1.5685639060904102,1.002544,8.541646,2.025517416368128,0.00039979742765860067,2.024259,2.027419,0.20137508878937616,0.018072963173205288,-0.070416,0.25933,2.2268925111267976,0.018069765264833886,1.955159,2.284488,-0.0027367722138886435,0.005464265216475663,-0.01349,0.007796,0.002504004456013412,0.002790958866046809,-0.005306,0.009295,5.568043326215477,3.4169367588327386,2.037991,17.343916,5.568043326215477
