DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.08618343835473755,0.04323985905640775,0.19431877549062457,0.09686030695150606
16.0,0.05947435919676331,0.037028150901027006,0.1555489976744217,0.07025909300533931
198.0,0.06472174835561986,0.041506090596771905,0.19876814330212147,0.07707447890255383
16.0,0.04712320661286314,0.03308974271891291,0.13796427023309446,0.05778728588799271
198.0,0.06386545067493889,0.035621303567045355,0.18816008675674512,0.07326576109436277
16.0,0.05173763592231979,0.027928390625013306,0.16273409548270942,0.05895495773368583
198.0,0.06818230819382445,0.044515145477966235,0.15637577890777496,0.08156118573935395
16.0,0.05141583601247146,0.036012626810293685,0.13108185122458724,0.0629912814184006
198.0,0.07668450898446982,0.03712219237454286,0.15488307673433677,0.085336863409267
16.0,0.050757265367661605,0.031230577792906795,0.15363982641332402,0.05997230611825775
198.0,0.1035978445047846,0.0460707216855438,0.19364267552949876,0.11351328364596555
16.0,0.05883279572733007,0.040128431770833604,0.14058348923985142,0.07146771884127215
198.0,0.08297668840452593,0.04527018494399214,0.20264015172451785,0.09483770623206383
16.0,0.05362570066919768,0.040403050964383715,0.15850426505638718,0.06737434257717977
198.0,0.10024543947698518,0.05350545304555281,0.2550429693085279,0.11436378811623535
16.0,0.06902954763056206,0.03641579532805862,0.17118772673053415,0.07822859324855083
198.0,0.07329199108003898,0.04332779354101416,0.14214764583613057,0.08525580815591857
16.0,0.04617666265198422,0.03250016321192895,0.12904256017050805,0.056700822177499444
198.0,0.1131507887293058,0.047514050560495534,0.21196111391494882,0.1229285527390879
16.0,0.06368226472440276,0.038037995487733955,0.15414038972942445,0.0743514281162175
