Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_Y,RMSE_Z
BRAZ,VERAO,1,2020-01-01,0.1301822362265555,0.14955359218999734,0.04310503301270276
BRAZ,VERAO,2,2020-01-01,0.12138276003084605,0.1476813122074638,0.03731303904130334
BRAZ,VERAO,3,2020-01-01,0.10941673050028272,0.14232526345803476,0.039596783448809854
BRAZ,VERAO,4,2020-01-01,0.10276988526035964,0.13448707414049715,0.03255137857316661
BRAZ,VERAO,5,2020-01-08,0.12259479362718029,0.13076194669914792,0.048566066091526194
BRAZ,VERAO,6,2020-01-08,0.09304912169790865,0.1124159026758821,0.034655953671444945
BRAZ,VERAO,7,2020-01-08,0.08178754723598004,0.1178174092926558,0.035611942792255116
BRAZ,VERAO,8,2020-01-08,0.1058444671797432,0.1348800075255493,0.04283724270835056
BRAZ,VERAO,9,2020-01-08,0.11665429636927671,0.13007460597698298,0.03648680688852033
BRAZ,VERAO,10,2020-01-08,0.0972251439860706,0.1285947250773047,0.04168638367426214
BRAZ,VERAO,11,2020-01-08,0.10918579124246122,0.15990021509372332,0.05557992691908142
BRAZ,VERAO,12,2020-01-15,0.09907842996448471,0.13677960303797684,0.04296137851056637
BRAZ,VERAO,13,2020-01-15,0.09475165012405597,0.13209985610126876,0.0479047762022239
BRAZ,VERAO,14,2020-01-15,0.0917639019540644,0.13274262513942495,0.055886706814224335
BRAZ,VERAO,15,2020-01-15,0.09310593895635401,0.13075460539044312,0.046550626200911896
BRAZ,VERAO,16,2020-01-15,0.07795801755028196,0.11796244636612874,0.049718030112722314
BRAZ,VERAO,17,2020-01-15,0.09241148784954742,0.1288190040838429,0.0529417986944288
BRAZ,VERAO,18,2020-01-15,0.09328290452132725,0.12118781435886745,0.042443543561229286
BRAZ,VERAO,19,2020-01-22,0.07286866856057464,0.11078077586076844,0.03703924159985725
BRAZ,VERAO,20,2020-01-22,0.10231120962912973,0.13942764554782938,0.05384839495410701
BRAZ,VERAO,21,2020-01-22,0.08903013275381694,0.13404344103474547,0.04393016126172676
BRAZ,VERAO,22,2020-01-22,0.08319662032936709,0.15318974013039557,0.052020213761404636
BRAZ,VERAO,23,2020-01-22,0.08738303263936154,0.12308625741361255,0.03679960386374146
BRAZ,VERAO,24,2020-01-22,0.08696559276318121,0.12110774293657665,0.04026260904227482
BRAZ,VERAO,25,2020-01-22,0.08408072792322299,0.12663337254492335,0.045972760939087774
BRAZ,VERAO,26,2020-01-29,0.10033512572961091,0.14231957670510745,0.048891431708671954
BRAZ,VERAO,27,2020-01-29,0.08738506484355944,0.11964098538936725,0.045907701182656746
BRAZ,VERAO,28,2020-01-29,0.08919612810211941,0.1405840503702396,0.04467240853307039
BRAZ,VERAO,29,2020-01-29,0.0955543559589028,0.14114576975334883,0.043632724588396433
BRAZ,VERAO,30,2020-01-29,0.11386831787935649,0.1518761120752785,0.04987742728885677
BRAZ,VERAO,31,2020-01-29,0.09322218488202945,0.1305214755496792,0.039926667520452146
CUIB,VERAO,1,2020-01-01,0.08204560084680129,0.13241695954616114,0.038130151925835035
CUIB,VERAO,2,2020-01-01,0.08874331451764454,0.12386777198071698,0.031146261154624953
CUIB,VERAO,3,2020-01-01,0.0720220199264668,0.124253595568347,0.035435662669337564
CUIB,VERAO,4,2020-01-01,0.06619352696370003,0.12549282268248593,0.036617224352008704
CUIB,VERAO,5,2020-01-08,0.09106285553838554,0.1353509437736058,0.052543146219031465
CUIB,VERAO,6,2020-01-08,0.06060871885322985,0.10792935699513106,0.03683695704076765
CUIB,VERAO,7,2020-01-08,0.07316737365014797,0.12417655293982745,0.03884005657391284
CUIB,VERAO,8,2020-01-08,0.07843890878444475,0.1205399645454492,0.04069002811176119
CUIB,VERAO,9,2020-01-08,0.06741744850937133,0.11945492995231687,0.036676703050145656
CUIB,VERAO,10,2020-01-08,0.07245822977221565,0.12928324935991767,0.0406393195146571
CUIB,VERAO,11,2020-01-08,0.07068065010337884,0.14100011703947213,0.0449527304601829
CUIB,VERAO,12,2020-01-15,0.07966738421684727,0.11743106077732213,0.033178236632201256
CUIB,VERAO,13,2020-01-15,0.06951074305002367,0.11933511143325895,0.04380460959561502
CUIB,VERAO,14,2020-01-15,0.0780598567562503,0.1456825636408261,0.057797097236510164
CUIB,VERAO,15,2020-01-15,0.06907461076114835,0.11733552427337295,0.043960772425997725
CUIB,VERAO,16,2020-01-15,0.06400482972430865,0.12897232634506614,0.04365579698630788
CUIB,VERAO,17,2020-01-15,0.06682410615157351,0.13488526645632545,0.036669065391780505
CUIB,VERAO,18,2020-01-15,0.07569316946405517,0.12379621289526678,0.03644315879795831
CUIB,VERAO,19,2020-01-22,0.0719491267510288,0.14041931935475757,0.04546556288540993
CUIB,VERAO,20,2020-01-22,0.06620991412488957,0.11314063826627614,0.03106404140638731
CUIB,VERAO,21,2020-01-22,0.07947459463862087,0.1195373313020307,0.03667022978940702
CUIB,VERAO,22,2020-01-22,0.060408395688702494,0.10650879957873186,0.04692517629552581
CUIB,VERAO,23,2020-01-22,0.07635300932343009,0.13278420875780517,0.04713863608419573
CUIB,VERAO,24,2020-01-22,0.0643975663032909,0.11315174986123092,0.0445121217011014
CUIB,VERAO,25,2020-01-22,0.06561190382565575,0.10708563763623427,0.035889397276727304
CUIB,VERAO,26,2020-01-29,0.07556854642009164,0.1270705615582421,0.04492016241277078
CUIB,VERAO,27,2020-01-29,0.060740573977057004,0.12723224285950482,0.04930846389696218
CUIB,VERAO,28,2020-01-29,0.06079592544068494,0.11085979648974352,0.03765115022991734
