DOY,RMSE_E,RMSE_N,RMSE_U
198.0,0.21471830207122944,0.2698969804059391,0.12646970188651005
16.0,0.2540258240545657,0.28736239254903156,0.17437609036007545
198.0,0.2162055332236528,0.3937113768965702,0.15469981446395853
16.0,0.19092168900720932,0.34279362345064085,0.13120739006620535
198.0,0.15851002658426544,0.25390169045799516,0.05489103977841387
16.0,0.1243652815727036,0.26822624583117655,0.04726060923152303
198.0,0.3167077751797121,0.3906647457216114,0.2515794734910972
16.0,0.36293945165455044,0.40735744165683097,0.25912956771036316
198.0,0.3578521469523353,0.2795014443782344,0.11628961785887178
16.0,0.35047838673285453,0.27022333770203927,0.10398623076639726
198.0,0.1546021370651082,0.3331214450950312,0.20878819987303035
16.0,0.16370654090438352,0.29698522355216617,0.1991441192902448
198.0,0.2502064113123736,0.28664065974641184,0.1880005453133835
16.0,0.2618214304978156,0.300917337163724,0.21302841215215723
198.0,0.15001444020965177,0.3653452783158214,0.0683134851092165
16.0,0.14389372554374683,0.29229443751283174,0.05299332759427019
198.0,0.28672369086373034,0.29196060238997584,0.13430518966985674
16.0,0.2657745198625819,0.24952027300505292,0.12031213693036687
198.0,0.3288033657826861,0.39723948571963796,0.258275793361762
16.0,0.33521640427931243,0.4243758636868239,0.28836434520127135
