Metric,Value
Minimum (Q0),0.0648327724718202
Q1 (25%),0.1385606204309588
Median (Q2),0.17448459407750025
Q3 (75%),0.2229807631739646
Maximum (Q4),5.441696828647628
IQR (Q3 - Q1),0.0844201427430058
Lower Bound,0.011930406316450093
Upper Bound,0.3496109772884733
Outliers,"3.6697827499994835, 4.742115896593247, 4.264336384376347, 0.35054569755588255, 5.441696828647628, 4.718791335808318, 3.7635390009229193, 4.241631937743356, 0.35980150783781584, 0.3574354855804937, 4.267154008096616, 3.611866111902078, 4.066375541248179"
