DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.12976203571025133,0.07213901888272835,0.33620816916355284,0.149751727897347
16.0,0.12007404912017511,0.09948677720204778,0.39229068588051264,0.15628565807206574
198.0,0.09177405988119547,0.06355735964140362,0.46141269378791716,0.11181988954081891
16.0,0.08857786234443442,0.05884451376348186,0.40097864070421674,0.10668614025940426
198.0,0.08018015031205043,0.05338741417404609,0.2835594532846379,0.09676420683042757
16.0,0.11628615754276496,0.04270873868373168,0.27468929799483277,0.12519652561431008
198.0,0.16243683682878238,0.09293983931021763,0.5300825138604817,0.18729072630931168
16.0,0.1677984657914313,0.0927894990644142,0.5746958150793421,0.19198190853670816
198.0,0.11163698362602524,0.06760133966244347,0.4508868754742106,0.13075549362536018
16.0,0.08699262301298791,0.06358037235489851,0.4423113879781728,0.10896556020529057
198.0,0.14420664819604653,0.0696358680699942,0.3906880865216823,0.1602698860478984
16.0,0.1365336227210529,0.07373611524933152,0.3631924938568104,0.15626349319284627
198.0,0.1369146610767745,0.10189949126446045,0.3923157347676098,0.17156154992121375
16.0,0.12916249616737419,0.10845301695960655,0.4228080367918376,0.16891565759463775
198.0,0.11374303269421694,0.06832530947094742,0.37616673694068786,0.13365229920453545
16.0,0.09660719515148224,0.05306123236894329,0.3122272492755622,0.1104425327244779
198.0,0.11512285138427811,0.0695072855783515,0.4089763714810258,0.13463903819737788
16.0,0.09157607838208809,0.06862953395610724,0.367372291506385,0.11477360853434292
198.0,0.17110241471319595,0.12595487933493843,0.5432250836149555,0.2138627675319299
16.0,0.18300653916373466,0.13443960850448797,0.5746303679627457,0.2282436854847314
