Metric,Value
Minimum (Q0),0.03835971795323981
Q1 (25%),0.10348686944047719
Median (Q2),0.1396618281635737
Q3 (75%),0.17809968244464786
Maximum (Q4),0.43016487963381433
IQR (Q3 - Q1),0.07461281300417066
Lower Bound,-0.008432350065778804
Upper Bound,0.29001890195090385
Outliers,"0.3437585436563803, 0.30667576747798475, 0.35208420536079316, 0.3337055547219548, 0.37306213005508787, 0.338260908308837, 0.3176013706182081, 0.43016487963381433, 0.2912947450782622, 0.29353074641796423, 0.31422373030668727, 0.3016867039135971, 0.35871953910394583, 0.29234723945552865, 0.2947879394504211, 0.3871647965379306, 0.32514811157402135"
