DOY,RMSE_E,RMSE_N,RMSE_U
198.0,0.32013121952756207,0.2939965568697091,0.17874315759714532
16.0,0.2732819583340792,0.36335803447767967,0.20745917727162744
198.0,0.40527885551594894,0.23283743682537067,0.10250787508554772
16.0,0.3527220762330709,0.24516256766136654,0.13730731632638266
198.0,0.2552710508201437,0.24388717351929393,0.1244459893095059
16.0,0.21203758493699376,0.3085642202887673,0.12611927507318743
198.0,0.3042784497088044,0.2233859514145652,0.1670332225438767
16.0,0.35400856716469403,0.22355186488680973,0.17523508710415225
198.0,0.29126568113220924,0.21588689487835824,0.10538983150304457
16.0,0.2968948540910101,0.2786733022570788,0.1930610641505975
198.0,0.23225860776370263,0.26867534083241734,0.16670476281967475
16.0,0.24728203330301507,0.2873062802587307,0.2212808414082684
198.0,0.2854255371650133,0.3243676158070242,0.17467609729909303
16.0,0.2475438328811961,0.3633450357923595,0.24059997358207716
198.0,0.7733926961536111,0.3138807568210783,0.20516011284878186
16.0,0.36477769229329676,0.3866303167898874,0.13750071109113055
198.0,0.33328032964585197,0.21871660737837154,0.14324148867751677
16.0,0.39373801053590113,0.25402293568550927,0.1416395117776559
198.0,0.20038973813445082,0.23481065638595647,0.15103520666262477
16.0,0.2076566376044038,0.41460949067943104,0.24374601035315083
