Metric,Value
Minimum (Q0),0.0593700503848348
Q1 (25%),0.2384616806012155
Median (Q2),0.3144248371375595
Q3 (75%),0.38237261536211486
Maximum (Q4),0.687513258263303
IQR (Q3 - Q1),0.14391093476089936
Lower Bound,0.022595278459866447
Upper Bound,0.598239017503464
Outliers,"0.687513258263303, 0.618179165077736"
