Metric,Value
Minimum (Q0),0.1334419946180134
Q1 (25%),0.28307927995768534
Median (Q2),0.36292790522290164
Q3 (75%),0.45380424303925637
Maximum (Q4),0.9454460895294938
IQR (Q3 - Q1),0.17072496308157104
Lower Bound,0.026991835335328784
Upper Bound,0.7098916876616129
Outliers,"0.9454460895294938, 0.766676939237055, 0.7431385234736705, 0.7232924088579512, 0.8042420634245466, 0.7407356689842602, 0.7272615990561669, 0.9453898405429292, 0.7746146389784703, 0.765376246229156, 0.7423558687403612, 0.8536884751015951, 0.71674179386838"
