DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.18669226446610152,0.15913616272226755,0.39383677109473403,0.25367905308669975
16.0,0.1946417416146333,0.16313549961116838,0.4330750659156717,0.26189612689899794
198.0,0.3327590690804203,0.10406408937997555,0.33267533463103693,0.35090304772727343
16.0,0.2552201239948097,0.09297123391400543,0.3607624801134139,0.27489002941898993
198.0,0.20982101787434088,0.12197098375855997,0.28019786947800035,0.24818024697160723
16.0,0.12858639140848044,0.11645876208811232,0.35552668746931826,0.17646389396564718
198.0,0.16852404047814903,0.10178174752208484,0.3696773165030568,0.2013043898305542
16.0,0.21874341715689452,0.10300592596262173,0.3781519621516087,0.24598555597897942
198.0,0.11055232429573172,0.10470465744904367,0.345880342022805,0.15660240913531395
16.0,0.23766296568380404,0.18936007929000015,0.33042752169895456,0.3111144547357185
198.0,0.16883369296570935,0.11043866044986857,0.3387909236647609,0.20690751030250126
16.0,0.21434926341822083,0.14293016602803246,0.3491338149286221,0.26147774656316297
198.0,0.15435267925211194,0.14652520932591132,0.4155437771968994,0.21756511976850948
16.0,0.2080924015280348,0.1413365140998227,0.4294947524393417,0.2559276272466158
198.0,0.7444485347421897,0.20505204245798236,0.39753006484408493,0.777644186296096
16.0,0.27154968687241515,0.13696223432807272,0.4563343786629601,0.3077939047539012
198.0,0.14398304718556149,0.09891135655756972,0.3859468246709185,0.17893965083102195
16.0,0.3493618577666211,0.1531175104065279,0.3375906671253447,0.38622211223257114
198.0,0.14529435107217967,0.09938852330570924,0.3026994419008729,0.1801815800836971
16.0,0.2679074082134375,0.1241641217156454,0.42118722604147163,0.2983283446324862
