DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.08546423240573588,0.04340279937214691,0.19401419779626966,0.09628863188927764
16.0,0.06067496026153194,0.03757828148468372,0.15608045862212747,0.07161092442802873
198.0,0.06452256394295756,0.04118731816981191,0.20139482641872844,0.076749384750816
16.0,0.04878575089271855,0.03386569804374541,0.13744711597801276,0.05962875052575773
198.0,0.06360418605143953,0.03609694899311276,0.18879841136397582,0.0732616315722968
16.0,0.052408941357455455,0.02867138068062589,0.1629297904905979,0.059929537253841245
198.0,0.06781986599552087,0.044422934625451556,0.15686236004197615,0.08120295117176204
16.0,0.05296145269733308,0.0378899563984927,0.13109642103649508,0.06533516392516871
198.0,0.07781976899844106,0.03773491651421882,0.1571312391357381,0.08662811288734279
16.0,0.051590680034487864,0.030740447458427574,0.15258424676428703,0.06044103594464329
198.0,0.09971033129724899,0.0470784336759096,0.1890576651138563,0.11039272688673878
16.0,0.058585749711099436,0.04146976572118294,0.13588137968124428,0.07197187490836407
198.0,0.08165674126793114,0.04564793712369873,0.20190917387430768,0.09385622322029699
16.0,0.05553933061924287,0.04104406508775405,0.15891160679850683,0.06926843877520743
198.0,0.09872143932561561,0.054852698775080325,0.25993641030265924,0.11368540459501325
16.0,0.06830473567717148,0.03639846706105896,0.17507671055201135,0.07756334005618032
198.0,0.07213047376364465,0.04335475826959197,0.14520113352427672,0.08429115390496875
16.0,0.047067722454520795,0.03251622905368189,0.1286811498501504,0.05744751225167762
198.0,0.11166963943971894,0.04770045380699425,0.21222916842952969,0.12165639522111964
16.0,0.06330890929320822,0.03864577486539948,0.15229946019090107,0.0743367650832349
