DOY,RMSE_E,RMSE_N,RMSE_U
198.0,0.10282775922180201,0.18160885760638826,0.05872057612225658
16.0,0.09948424804356515,0.1328207673594904,0.04398565942166313
198.0,0.0891214560722167,0.18346411652672248,0.06970893901730336
16.0,0.07278820502305068,0.12383869381175039,0.042456556566689355
198.0,0.09145814483138343,0.17690079654272906,0.03700748738375825
16.0,0.0812376729325419,0.15092224617450006,0.027149402608873184
198.0,0.09185137655055146,0.13226204984498455,0.07278264098998706
16.0,0.08952656696642831,0.10173811730125686,0.05561702925258084
198.0,0.12067682980995671,0.12455392328194406,0.04508695291071664
16.0,0.12218798334676285,0.10466815103419287,0.03137217464058787
198.0,0.08387067934455164,0.17921044186540477,0.09340354586750473
16.0,0.07998404955426722,0.11171639806254169,0.06911834668588694
198.0,0.10566581171207456,0.17881065805868254,0.08081064682575706
16.0,0.1041335113604575,0.12353608032309549,0.06251662033542785
198.0,0.09366329147980951,0.26153140875893793,0.05493224592680487
16.0,0.07247018580063493,0.17315851271825178,0.03654241414516941
198.0,0.10696547651948848,0.11923874050572304,0.05040496636216654
16.0,0.1011194298435685,0.09232876899051938,0.03314454838483328
198.0,0.09172817633910782,0.20798316993674743,0.09032770060101993
16.0,0.07968477305817838,0.13411544775228879,0.06578666173731149
