Metric,Value
Minimum (Q0),0.09346162736349573
Q1 (25%),0.2079853159783533
Median (Q2),0.3025865908738027
Q3 (75%),0.3939981305391388
Maximum (Q4),1.045888203423447
IQR (Q3 - Q1),0.1860128145607855
Lower Bound,-0.07103390586282493
Upper Bound,0.673017352380317
Outliers,"0.6966478494634298, 0.8912230167721156, 0.7341560838369965, 0.7248953030070513, 0.7369832992259632, 0.9632867509171535, 0.8119119091624959, 1.045888203423447, 0.8970197983955611, 0.9578193294085143, 0.6940383634982833, 0.7298245777253113, 0.9165129421718916, 0.8729954586345917, 0.7192808644086224, 0.7054974094596993"
