Metric,Value
Minimum (Q0),0.16124629476878938
Q1 (25%),0.2683953453757629
Median (Q2),0.38793513296585264
Q3 (75%),0.4745724369773988
Maximum (Q4),1.2490981133783483
IQR (Q3 - Q1),0.20617709160163594
Lower Bound,-0.04087029202669107
Upper Bound,0.7838380743798528
Outliers,"1.2490981133783483, 1.170886508251777, 1.1284079690753792"
