Metric,Value
Minimum (Q0),0.11704568536734375
Q1 (25%),0.24448097198677982
Median (Q2),0.33641193536264896
Q3 (75%),0.45511620071225056
Maximum (Q4),1.4637910830096503
IQR (Q3 - Q1),0.21063522872547075
Lower Bound,-0.07147187110142633
Upper Bound,0.7710690438004567
Outliers,"0.8871124461615613, 0.9274778951752953, 0.8483204994535671, 1.0288176051622988, 1.1802625064215342, 1.1157336352141565, 0.8675564044282893, 0.7967256543039947, 1.0721414663658453, 0.8744984848520886, 1.024677227113928, 1.0798929942025368, 1.018164054532737, 0.8485030979864786, 1.1717334612592152, 1.4637910830096503, 1.1103487745874863, 1.4231384731503656, 0.8017938458453857, 0.9201912451874659, 1.2490981133783483, 1.170886508251777, 1.1284079690753792"
