DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.2885433469422039,0.22368738803546537,0.5093360627025637,0.37968736847705437
16.0,0.23021232673342293,0.20883996154233445,0.654225257852748,0.3192289176268915
198.0,0.4244436265817995,0.1312877532543121,0.3679235394944344,0.44710062939489786
16.0,0.2640325100291537,0.14870092292479983,0.5205157160365049,0.30895587817212633
198.0,0.38121151615472904,0.15437388542678032,0.37128006172676314,0.4182637119634264
16.0,0.27577839899332124,0.16339922123477485,0.4307032107167529,0.3348303329453449
198.0,0.23866414682125175,0.23206818523134606,0.5846790933734914,0.3390758160124089
16.0,0.2565895312823292,0.2072211538141848,0.5208429156826531,0.335569659485911
198.0,0.16798449412990457,0.16717943959506804,0.379718585286368,0.2415269121970311
16.0,0.30753702808515276,0.2646213585033027,0.3927631133126243,0.4111272423200469
198.0,0.20783122431732118,0.143138455649248,0.3509276949008549,0.25729851872311305
16.0,0.2605270315451103,0.19280898107565864,0.44137883425428076,0.3290959036565282
198.0,0.23428475610845312,0.2182565694112751,0.5285896634207425,0.3290487923156633
16.0,0.2949780232837814,0.21121122908449957,0.4524760858512331,0.3728229616598748
198.0,0.7885129094612983,0.23002234357324663,0.4026222331464235,0.826471691339287
16.0,0.3060383901233605,0.18163012956231495,0.46961781028811755,0.35927735912820113
198.0,0.22617175088027608,0.12384779423614285,0.4427741566418829,0.26071863191435657
16.0,0.3616674609591365,0.23215525467654388,0.39589857548469864,0.435448280913583
198.0,0.27182442344329705,0.21759385255323954,0.48271077721494243,0.35747929432417963
16.0,0.31566966366590965,0.26936387478390905,0.4873935815441587,0.4256620950715025
