Metric,Value
Minimum (Q0),0.1361165911710726
Q1 (25%),0.324134268726701
Median (Q2),0.39997647215659304
Q3 (75%),0.5577381583624818
Maximum (Q4),1.3996440006193094
IQR (Q3 - Q1),0.23360388963578077
Lower Bound,-0.026271565726970147
Upper Bound,0.9081439928161529
Outliers,"1.0662660063753089, 1.0217026479794689, 1.000404372196892, 1.0407246332980913, 1.1921336248562082, 1.231209108015231, 0.9656405205891916, 1.3996440006193094, 1.2381610340380624, 1.258971587207905, 1.2419707348899474, 0.9977726292561302, 0.993757077426967, 1.318520404421406, 1.02824278016704, 1.2542163609803754, 0.9525808266120726, 1.010082986814783, 0.9291887690274936, 1.0134516450524165, 1.1728122826694458, 1.2226169365679451"
