Metric,Value
Minimum (Q0),0.0429499805192985
Q1 (25%),0.07953154823463984
Median (Q2),0.1158368009687954
Q3 (75%),0.16116057161002073
Maximum (Q4),0.3492429479919295
IQR (Q3 - Q1),0.08162902337538089
Lower Bound,-0.04291198682843149
Upper Bound,0.28360410667309205
Outliers,0.3492429479919295
