Metric,Value
Minimum (Q0),0.0614765847449153
Q1 (25%),0.17630709195034483
Median (Q2),0.2507816554318707
Q3 (75%),0.383331812758381
Maximum (Q4),1.6288623976818732
IQR (Q3 - Q1),0.2070247208080362
Lower Bound,-0.13422998926170943
Upper Bound,0.6938688939704353
Outliers,"0.7203926071919927, 0.7242835024183728, 0.7180515998322982, 0.9270232930795376, 0.8596098769106039, 0.9650308039473384, 0.770238148288874, 0.8945584571792876, 0.8158177996573748, 0.9599450799819136, 0.7521116304545149, 0.7676406088720914, 0.9064255765481012, 0.8804632345228111, 1.0237689248116288, 1.0941610672365332, 0.839499710641231, 0.9813503619056476, 0.7003811440046425, 0.8850306869193884, 0.942598312715336, 0.9630439313610925, 0.9767865762661272, 1.6288623976818732, 0.9135091019410853, 0.9523488883703922"
