Metric,Value
Minimum (Q0),0.1577512036968355
Q1 (25%),0.2965271040334574
Median (Q2),0.382228935368616
Q3 (75%),0.528768628813805
Maximum (Q4),0.8912230167721156
IQR (Q3 - Q1),0.23224152478034765
Lower Bound,-0.05183518313706409
Upper Bound,0.8771309159843266
Outliers,0.8912230167721156
