Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,INVERNO,-2.4702519160400804e-05,0.00010373446159199312,-0.000367,0.000237,-1.825464592539016e-05,0.00011692968449728386,-0.000346,0.000296,2.501426482521712,1.507242879475061,1.006298,7.645451,2.528672688287768,1.5585315867253386,1.006308,8.005034,-4.534704654498342e-06,0.00031277887490457565,-0.002884,0.002608,2.09718218312176,0.0035097978402318926,2.0863,2.1072,0.08896663746069755,0.02013391650226609,0.0585,0.1403,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.470918053580948,3.3000603044891967,2.174512,17.083607,5.470918053580947
CUIB,INVERNO,-0.0001373484145689469,0.0001468501792569239,-0.000717,0.000203,-4.086071307403175e-05,0.00017594062863722404,-0.000662,0.000508,2.568178211314735,1.6101775920947061,1.000616,7.637157,2.5973900504484804,1.663866119802378,1.000617,7.980208,-9.113835778246355e-06,0.0005358274895248571,-0.006301,0.007039,2.239710687300184,0.004126063860622592,2.23,2.2518,0.14158284876968436,0.02992091812287845,0.0859,0.2251,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.119852510885021,3.8434953178420233,2.330672,18.963985,6.119852510885022
UFPR,INVERNO,-4.265945732042174e-05,0.00016111259985311565,-0.000494,0.000606,0.00022306996824284533,0.0003024676681493904,-0.000824,0.001364,2.393158504786248,1.5054858326009164,1.000031,7.653449,2.4168461683710047,1.5527937694948404,1.000032,7.992315,4.958638666696487e-07,0.0006172000874574982,-0.007868,0.00706,2.1669629014540455,0.008333081643804065,2.1412,2.1871,0.11549237529849986,0.04389826873824929,0.0433,0.2117,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.464967026146849,3.4436905379172407,2.218106,18.214898,5.464967026146851
NAUS,INVERNO,-0.00015469339078899417,0.00017326755551748423,-0.000609,0.000384,0.00014032296845963016,0.00022421538143126013,-0.000745,0.000785,2.646909215386328,1.5299711988779634,1.000009,7.634535,2.6724605872085783,1.5752236864112121,1.000009,7.958888,3.2016013185517646e-05,0.0007821520499699618,-0.006116,0.006718,2.300981335824123,0.002660728651218332,2.2946,2.3086,0.27528300373186243,0.04631432442935064,0.1268,0.3454,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.826175685038808,3.9569237701707856,2.436356,20.245466,6.826175685038808
POAL,INVERNO,-9.121144962701078e-06,0.00025833262657170734,-0.000803,0.001201,0.000447433131051822,0.0004040480846415135,-0.00051,0.001722,2.373761098535393,1.4978982319970988,1.000677,7.653593,2.395861447847063,1.5411366092902483,1.000678,7.996028,4.960352802876521e-06,0.0009083281209498213,-0.010759,0.011669,2.297132699267571,0.012034859250302307,2.2529,2.3257,0.11668917501449051,0.0546377764244414,0.0287,0.2395,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.732337634019238,3.6232828871918725,2.348011,19.329911,5.732337634019236
PERC,INVERNO,-0.00013983695279224092,0.00026264927865745545,-0.000823,0.000862,0.00027455614048037556,0.000333600637024942,-0.00043,0.001244,2.701796646761468,1.5914049533142056,1.000074,7.634148,2.7327591169983028,1.6447531800781665,1.000074,7.969885,3.5741983803620995e-05,0.001160789784092696,-0.009555,0.010151,2.299791317477905,0.002769392459503226,2.2909,2.3066,0.19687064207603067,0.03489669911708003,0.1434,0.2993,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.751566448566858,3.9851836482212035,2.443745,19.924026,6.751566448566854
ONRJ,INVERNO,-4.588339045034731e-05,0.00014959430381405076,-0.000596,0.000418,0.0002726491594730228,0.00029465094622924094,-0.000387,0.001269,2.454980811067962,1.5376809436978025,1.0,7.640499,2.480980370535196,1.5883093934812647,1.0,7.978091,8.40754418806027e-06,0.0006550317686449724,-0.005962,0.007931,2.280678187893677,0.008090663321161975,2.2542,2.3023,0.14312782472831567,0.026834254605631436,0.0984,0.2164,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.954139884780782,3.7352136640905687,2.377397,19.201342,5.95413988478078
SSA1,INVERNO,-0.0001247519143047872,0.0002443507918438391,-0.000762,0.000674,7.629882847184413e-05,0.00025851719654407663,-0.000593,0.000987,2.571721897314142,1.554362868828425,1.00031,7.635164,2.5999919038909103,1.6062386939868307,1.00031,7.971602,6.163130738885018e-05,0.0008190998995891957,-0.007915,0.007926,2.3173781936810505,0.0034460898516112245,2.3049,2.3265,0.18556045800661455,0.029980877819817293,0.1166,0.2832,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.442303148438402,3.901860119179448,2.436662,19.91589,6.442303148438405
SAGA,INVERNO,-0.00013929281786813623,0.00017217840367876052,-0.000697,0.000376,0.00012810426782345347,0.00021042811485893676,-0.000356,0.000814,2.3347197592034057,1.21676903036956,1.001412,7.634297,2.3493750776586237,1.244106187627644,1.001414,7.924473,-4.7749021323602416e-05,0.0006101768129076417,-0.005713,0.005509,2.2899101513193822,0.002644425483859256,2.2828,2.2963,0.31343885386567866,0.02970314907914024,0.1741,0.3511,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.082339327254927,3.1762380089076325,2.472513,20.250989,6.082339327254926
POLI,INVERNO,1.1730341798200338e-05,0.0001506504758357126,-0.000527,0.00102,0.00018976521922824436,0.000301470078863529,-0.000467,0.00148,2.3972929949561443,1.4790538718830797,1.002336,7.648158,2.42073847268298,1.525336765416218,1.00234,7.992279,4.677609604910781e-06,0.000640233500442205,-0.010487,0.010983,2.1938708334259593,0.00716481940719419,2.1707,2.2108,0.1204314767955628,0.0330719205860901,0.0652,0.1923,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.550981146967269,3.430205371965486,2.27802,18.30509,5.5509811469672705
