Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U
BRAZ,VERAO,1,2020-01-01,0.21831782987464018,0.20846166307365327,0.1279104993933068
BRAZ,VERAO,4,2020-01-01,0.1988901220071026,0.2222747814757287,0.14315018447058106
BRAZ,VERAO,30,2020-01-29,0.2958856141859089,0.23122559299126394,0.13583341346600764
BRAZ,VERAO,13,2020-01-15,0.14777465502562495,0.1664982494775293,0.11387999730696163
BRAZ,VERAO,22,2020-01-22,0.27503015409817483,0.2507102891826633,0.17632554730661962
BRAZ,VERAO,17,2020-01-15,0.20352586748349624,0.1937125016721768,0.1379231117060894
BRAZ,VERAO,12,2020-01-15,0.18474787206940393,0.19258282913084837,0.12377833802375883
BRAZ,VERAO,5,2020-01-08,0.16722898978179476,0.15105658271668948,0.1136273458913104
BRAZ,VERAO,15,2020-01-15,0.17965568604702922,0.19501433439599036,0.12742525541316777
BRAZ,VERAO,11,2020-01-08,0.18345391538321026,0.21529253856518615,0.1267406458004647
BRAZ,VERAO,19,2020-01-22,0.2139111181310244,0.1869772162235512,0.13059252116215883
BRAZ,VERAO,7,2020-01-08,0.21236383675455855,0.23671090844120476,0.1390179002050144
BRAZ,VERAO,21,2020-01-22,0.2069190537238304,0.1800063187218152,0.1497009173923673
BRAZ,VERAO,3,2020-01-01,0.2089340146592667,0.253067999522808,0.13314281257993243
BRAZ,VERAO,16,2020-01-15,0.16342883288148188,0.20274559377800505,0.13824314091633014
BRAZ,VERAO,14,2020-01-15,0.1632209235676582,0.18998162469124566,0.12435078340040073
BRAZ,VERAO,28,2020-01-29,0.1953003133507209,0.21734874688825392,0.10799005475098383
BRAZ,VERAO,23,2020-01-22,0.1722763784883169,0.1878609446331955,0.12835288525924504
BRAZ,VERAO,20,2020-01-22,0.22437708286337768,0.17334891039292968,0.11890884026392638
BRAZ,VERAO,2,2020-01-01,0.2362273876748224,0.31154506358054207,0.15163710221645857
BRAZ,VERAO,31,2020-01-29,2.534357709032248,4.402527243286833,1.7572131692633939
BRAZ,VERAO,26,2020-01-29,0.1688875523719286,0.19811421290909356,0.09907736308304432
BRAZ,VERAO,6,2020-01-08,0.24431382765777176,0.21915436400493502,0.11580312389244032
BRAZ,VERAO,9,2020-01-08,0.20137510705764256,0.18928354937127198,0.12564704509333213
BRAZ,VERAO,27,2020-01-29,0.1711889733000849,0.2007253497429765,0.12280733220958714
BRAZ,VERAO,29,2020-01-29,0.17486828944246097,0.24286697334778962,0.11333928137184635
BRAZ,VERAO,24,2020-01-22,0.1941568742820863,0.195893123525092,0.11656311266244583
BRAZ,VERAO,18,2020-01-15,0.22155884137756432,0.19980807166800485,0.12299646161087167
BRAZ,VERAO,10,2020-01-08,0.2593689384854791,0.3021745067743058,0.17292698967253403
BRAZ,VERAO,8,2020-01-08,0.17242593203310352,0.1514984696939017,0.11060064863604759
BRAZ,VERAO,25,2020-01-22,0.2156945830896436,0.1957344758298184,0.1065088161595673
CUIB,VERAO,23,2020-01-22,0.13254068540261899,0.29925879650297954,0.1375396688946822
CUIB,VERAO,21,2020-01-22,0.11626710865449243,0.2336919199634452,0.09008492948399544
CUIB,VERAO,4,2020-01-01,0.19205075989540543,0.25002632098578015,0.10484797705661034
CUIB,VERAO,15,2020-01-15,0.12959665484471833,0.28697067660877784,0.09960849064483299
CUIB,VERAO,16,2020-01-15,0.10337635335759235,0.2630254251920108,0.09536472510199895
CUIB,VERAO,2,2020-01-01,0.1292987074879105,0.22610118506961893,0.07983319220509873
CUIB,VERAO,5,2020-01-08,0.13030260442036792,0.33906943918753224,0.12656308838579897
CUIB,VERAO,12,2020-01-15,0.11841720104381423,0.2347944182984467,0.08198384480443333
CUIB,VERAO,7,2020-01-08,0.11886273313609344,0.21731487983314338,0.0844970343327609
CUIB,VERAO,31,2020-01-29,1.6982095360231464,4.98040941468666,1.4924004158994042
CUIB,VERAO,25,2020-01-22,0.11212014397612068,0.18909254060371278,0.0817069303256031
CUIB,VERAO,1,2020-01-01,0.10268492250747797,0.21456648338502235,0.07480357486899138
CUIB,VERAO,14,2020-01-15,0.149267623435057,0.29622478018229015,0.11113085073213892
CUIB,VERAO,17,2020-01-15,0.07339192948657475,0.1924338862886686,0.0479854059095353
CUIB,VERAO,24,2020-01-22,0.18316683603948036,0.25714932183013944,0.13281035966138935
CUIB,VERAO,22,2020-01-22,0.12699538925678205,0.2557201383771881,0.08731019810509698
CUIB,VERAO,27,2020-01-29,0.15957134279056306,0.315274308268309,0.14750053876840963
CUIB,VERAO,6,2020-01-08,0.15842697624936258,0.27991953319252705,0.10319611554438876
CUIB,VERAO,8,2020-01-08,0.11652367947462021,0.18885638581101688,0.07661931631878574
CUIB,VERAO,11,2020-01-08,0.11541670689297308,0.2541591966638053,0.08447541250553646
CUIB,VERAO,30,2020-01-29,0.15874780344109615,0.23784138806771776,0.10066155522550078
CUIB,VERAO,28,2020-01-29,0.10158824373003705,0.19816460275847922,0.05669430932186736
CUIB,VERAO,20,2020-01-22,0.09594520952942578,0.18775187856781544,0.07229029197121077
CUIB,VERAO,10,2020-01-08,0.14379228783866058,0.26706259384305464,0.09228672294153047
CUIB,VERAO,9,2020-01-08,0.11425364287216759,0.2441521623961582,0.07491729210124111
CUIB,VERAO,3,2020-01-01,0.15663338219699477,0.27002398660066756,0.08313716451031175
CUIB,VERAO,19,2020-01-22,0.11882444062467701,0.25976185977741284,0.09156536157294504
CUIB,VERAO,26,2020-01-29,0.16301653849716422,0.24153899755209107,0.10602879661723266
