DOY,RMSE_E,RMSE_N,RMSE_U
198.0,0.29444426911126154,0.3925898828427809,0.18200234227218248
16.0,0.27773117019940186,0.34400654934546143,0.18103273034129666
198.0,0.22507180851952813,0.4629914976067321,0.1802169478889807
16.0,0.18121476000030048,0.40062302511932585,0.13827761331405583
198.0,0.20691215783360167,0.33880205861290075,0.08099323836946534
16.0,0.13567068490863254,0.3308995042832191,0.05840653580389543
198.0,0.3315958597068844,0.4600881203556466,0.28217422247034435
16.0,0.36569024712916787,0.447823365560254,0.2591186124607455
198.0,0.3719039583329233,0.3723257330713495,0.14782305484378522
16.0,0.3865447347791303,0.31040708465623895,0.10544587586935275
198.0,0.23957804616936873,0.41198036541338157,0.2469755196531166
16.0,0.23472952363615193,0.3270369833322463,0.22883220595990578
198.0,0.3131179277697726,0.36941951561920705,0.23592529234453294
16.0,0.28714697513651,0.30475073943187025,0.21910249982335125
198.0,0.1978706666072235,0.43890575243266444,0.10477672909525335
16.0,0.1595097676096037,0.36030134391979746,0.08628427587573385
198.0,0.29458635811996436,0.3390494946354871,0.18786996663518987
16.0,0.2911764553868318,0.2563666131480528,0.12743751943343914
198.0,0.3709162450592004,0.45345513198351084,0.2871234946975871
16.0,0.33686331429291344,0.41221683078231525,0.29733988457710797
