DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.24642458584423907,0.13249678117715882,0.42365543065615996,0.2826212201802334
16.0,0.17856744053469104,0.11141637175435572,0.42841916460334883,0.21305732342390804
198.0,0.1985397526917072,0.10017025963164077,0.48768193919783726,0.2231388496681052
16.0,0.1512836552174202,0.064574303276764,0.430680378860637,0.1659260121886967
198.0,0.16646230333437823,0.08322317065711736,0.3434945303112959,0.18699385897259535
16.0,0.17346247062867864,0.052777542482654906,0.3216506835651033,0.1844599249785308
198.0,0.2724629242962898,0.1403305310670621,0.551465492988282,0.3077654168988519
16.0,0.21009166459822237,0.11897292043191997,0.587853782565817,0.2422055133937998
198.0,0.21376235377647831,0.11307624481076647,0.48186117671988343,0.24312481067627023
16.0,0.12726383725491208,0.0723230196031931,0.4829728464250797,0.14927743795558374
198.0,0.23904890410134094,0.1207972985368855,0.4528574274233847,0.2721195004110507
16.0,0.19605811294260503,0.10597244741684077,0.4109891692718028,0.22573130353384877
198.0,0.2511512415554227,0.15138524064214903,0.44982969889276886,0.29551254302089147
16.0,0.14267811531948485,0.13298129819082385,0.43107372628539536,0.19584881563661438
198.0,0.20521446927800832,0.1048660864133956,0.42927301960182584,0.23200071279728948
16.0,0.13964755816386987,0.08615316245601191,0.3639270517735315,0.16638155842763672
198.0,0.19993712597942354,0.13860522114732596,0.403832067272091,0.24559952367493737
16.0,0.11318650498404075,0.08839637260975303,0.3804102179033305,0.14666411315575992
198.0,0.2805649238900438,0.16556243548208077,0.5687894050547304,0.32776394948572957
16.0,0.21257730156261598,0.1552857578067784,0.5574227421470904,0.26437655626369294
