DOY,RMSE_X,RMSE_Y,RMSE_Z
198.0,0.21435169155728898,0.26975108389161123,0.12639793627335957
16.0,0.2533782904354211,0.28776150077822255,0.17416868792483123
198.0,0.2173423062158842,0.3934520651415906,0.15493097747989162
16.0,0.1901363726134926,0.3419473892647491,0.13043488275523157
198.0,0.15794546042210328,0.25327216296542543,0.054747970498115375
16.0,0.1228099236320261,0.268452007789257,0.04650119728168129
198.0,0.3144886026274865,0.3884246970301625,0.25007128192546396
16.0,0.357866989127901,0.4007206909246437,0.25529725862772706
198.0,0.3564680703948157,0.27634426496402786,0.11472844672562053
16.0,0.3489848176779838,0.26678634788917077,0.10258759532198658
198.0,0.1532927794577122,0.33147187692719143,0.20697798536906464
16.0,0.1615523819456341,0.29430009800100315,0.19746680395258023
198.0,0.2513540417666411,0.28770320400917265,0.18885489873713757
16.0,0.26305486397881805,0.3030504352004357,0.21489850487227483
198.0,0.14998287980335778,0.36608694789499824,0.06828023863690147
16.0,0.14400559554365053,0.29054237810197453,0.052822474595598023
198.0,0.28579958443778963,0.2908723724171893,0.1336636568700675
16.0,0.2665495787000787,0.24750563959056332,0.12013577440105136
198.0,0.32976429576432775,0.39857317814798326,0.259257746612465
16.0,0.3359475174288048,0.4268650981406465,0.28959290876037114
