DOY,RMSE_E,RMSE_N,RMSE_U
198.0,0.21471125985329872,0.269937997710525,0.1265009471228337
16.0,0.253978494305916,0.2874575145206188,0.17441818015336236
198.0,0.2162744025670188,0.39362032287910276,0.15460088015322368
16.0,0.19102548884314588,0.3428648599378244,0.13149157574756817
198.0,0.15862236673212435,0.25386929227945737,0.05492120952109711
16.0,0.12459631881142932,0.2681632170930851,0.04762346823519049
198.0,0.31688286618841904,0.39073706679193504,0.2522666401049035
16.0,0.3633330040268542,0.40758374960238486,0.26072367939842944
198.0,0.3581639190565249,0.2796686642029052,0.1169790056104704
16.0,0.35099246973403847,0.2700984575038261,0.10454848050768456
198.0,0.15461626328951292,0.33299163154053874,0.20976827072521723
16.0,0.16374953667482706,0.2968287953496909,0.2001755585210837
198.0,0.2501618590243315,0.2866027491388405,0.18762049413381968
16.0,0.26176004921036605,0.3010309736573185,0.21209480594264077
198.0,0.1501282081360934,0.3651373744535073,0.06840254663431217
16.0,0.14398198823724037,0.29246565865756763,0.053091834928329654
198.0,0.2869294824950245,0.29192259300938705,0.13452616193687034
16.0,0.26602940242296536,0.24938883552576294,0.12036380768819199
198.0,0.32875520336750225,0.3972741714257523,0.257801092667332
16.0,0.3351204367228155,0.424507215094498,0.2877183004164148
