DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.12977571319666414,0.07214346684866141,0.33624481241509235,0.14976705817014588
16.0,0.12013541077728765,0.09953696275330183,0.3923183892389715,0.15636823380203535
198.0,0.09171795206133922,0.06354091357667552,0.4613480949150296,0.11176598669738459
16.0,0.08857562235833559,0.05898645259661874,0.4011646322066159,0.1067662071884978
198.0,0.0801724126818398,0.0533853773599242,0.28361348148635623,0.09675203450545312
16.0,0.11646912935649174,0.04307209112895443,0.27469158184238307,0.12552668038012868
198.0,0.16256355181731333,0.09312193123729415,0.530486528910036,0.18749122280671926
16.0,0.1681812465551146,0.09297414830190227,0.575646083784488,0.1924072234451058
198.0,0.11194232844164527,0.06803078059832639,0.45126902711154837,0.13123294338252975
16.0,0.08722514189638252,0.0636008231970557,0.4427056167892724,0.10917150143488508
198.0,0.1440286332789283,0.06980287481280835,0.3911282164387698,0.16018318451842953
16.0,0.1365905709500064,0.0734964979794497,0.3636460429568417,0.15616706066004948
198.0,0.13682582923191075,0.10190552551118948,0.39211492300623946,0.1714994957894552
16.0,0.12907964457063195,0.10820941510785358,0.4224990866570176,0.16869444202085512
198.0,0.11359112279228077,0.06841356498324898,0.3760550614900992,0.13356080758268216
16.0,0.09662811370064912,0.05315992228982276,0.31242731320667855,0.11050766522832997
198.0,0.11514101723597797,0.06960074819551727,0.40914711293332623,0.13470334078466562
16.0,0.09168058515541223,0.06854114038498946,0.3674768003365385,0.11480225265409855
198.0,0.17103090764513634,0.12595572354541293,0.5430122973635636,0.21380805600224137
16.0,0.18305373743852082,0.13433569038358212,0.5743565522797989,0.22821689693769256
