Estacao,Periodo,DOY,DataReferencia,RMSE_X,RMSE_Y,RMSE_Z
BRAZ,VERAO,1,2020-01-01,0.5165098274036534,0.9087296662513872,0.3777766484099591
BRAZ,VERAO,4,2020-01-01,0.7930864574239528,0.7410634391134542,0.2148964009068656
BRAZ,VERAO,30,2020-01-29,0.9180356265398971,1.2887998682792525,1.2605877677530477
BRAZ,VERAO,13,2020-01-15,0.4067608283270378,0.5415278719832939,0.34810380283641884
BRAZ,VERAO,22,2020-01-22,0.8300150753021546,1.009882500043556,0.5302908994222929
BRAZ,VERAO,17,2020-01-15,0.9148192947931045,1.4960116531154197,1.770403888035899
BRAZ,VERAO,12,2020-01-15,0.3553792341745449,0.6022320916242789,0.4405867871722649
BRAZ,VERAO,5,2020-01-08,1.0228866357699544,0.7494338960490012,0.9294864097399241
BRAZ,VERAO,15,2020-01-15,0.44329226838463653,0.7476116844156535,0.7929592935839885
BRAZ,VERAO,11,2020-01-08,0.8347182039697011,1.1652467255936905,0.9585287165087056
BRAZ,VERAO,19,2020-01-22,0.8411997996429565,1.244344166599769,1.7525620619699624
BRAZ,VERAO,7,2020-01-08,0.6440976614160357,0.8057637075114374,0.3861780759948797
BRAZ,VERAO,21,2020-01-22,0.7653969934852225,0.8077234316289917,0.3008536595484193
BRAZ,VERAO,3,2020-01-01,0.683103872706894,0.7112813806948628,0.3667692810578104
BRAZ,VERAO,16,2020-01-15,1.248529784067845,1.13447586490039,2.370072932158215
BRAZ,VERAO,14,2020-01-15,0.44838866562274604,0.6297299879753341,0.4909572647096386
BRAZ,VERAO,28,2020-01-29,0.568369886394704,0.8330769855928877,0.624853373792559
BRAZ,VERAO,23,2020-01-22,0.6853033903171243,0.9537754866325313,0.33589526291686
BRAZ,VERAO,20,2020-01-22,1.0526999419274712,1.2678746693268748,1.6576463340015553
BRAZ,VERAO,2,2020-01-01,0.7900251876513269,0.7058765023169082,0.3525727118235914
BRAZ,VERAO,31,2020-01-29,3.1349164563229044,3.7417558040813126,2.536723476735246
BRAZ,VERAO,26,2020-01-29,0.8486690608186784,0.7615024369601976,0.7056314778105789
BRAZ,VERAO,6,2020-01-08,0.6157221510406679,0.8025205242520657,0.6775236886231774
BRAZ,VERAO,9,2020-01-08,0.7772926253736709,1.5446661988821355,1.2653567859268744
BRAZ,VERAO,27,2020-01-29,0.9374502218603274,0.7112672185872089,0.6301359167685846
BRAZ,VERAO,29,2020-01-29,0.7421361127069509,1.000501334830608,0.9131132923370736
BRAZ,VERAO,24,2020-01-22,0.7789505909733798,0.8038293125398359,0.528832594135137
BRAZ,VERAO,18,2020-01-15,0.8726830411295856,1.1342657778452838,1.460032282310828
BRAZ,VERAO,10,2020-01-08,0.9031198510867344,1.224052589117284,1.481166946012179
BRAZ,VERAO,8,2020-01-08,0.7635982146935419,1.5096976891314668,0.7642759573488072
BRAZ,VERAO,25,2020-01-22,0.686108347964441,0.9236123384877709,0.6551475078734468
CUIB,VERAO,23,2020-01-22,1.4623375070792655,1.3298231011486321,1.4429463978809969
CUIB,VERAO,21,2020-01-22,1.1970819214124284,1.1896520596212752,0.5639891645251901
CUIB,VERAO,4,2020-01-01,1.3898903280806987,1.2624377852896904,2.7101771697083237
CUIB,VERAO,15,2020-01-15,0.9795494781929275,1.2781962154003885,0.690493754342427
CUIB,VERAO,16,2020-01-15,0.8082358064544166,1.4597093047847913,0.7250617576006126
CUIB,VERAO,2,2020-01-01,0.7756496387679939,1.6301594021881884,0.590769822320515
CUIB,VERAO,5,2020-01-08,1.1530235403867828,1.2972054502692358,1.670591813429173
CUIB,VERAO,12,2020-01-15,0.9668572362292861,2.2545537034074092,1.7855745677163206
CUIB,VERAO,7,2020-01-08,0.9252875829163846,1.4753053371590745,0.6073432725239534
CUIB,VERAO,31,2020-01-29,2.4093198126142377,4.915281865229175,2.124202144429237
CUIB,VERAO,25,2020-01-22,1.2063070923927224,1.070045252916019,2.0068141142657803
CUIB,VERAO,1,2020-01-01,0.8247316549741908,1.5849609089608045,0.5847368914695015
CUIB,VERAO,14,2020-01-15,1.1796613883127052,1.963869201784357,1.828038035069754
CUIB,VERAO,17,2020-01-15,1.2977982098162613,2.0768175315905584,3.0110569432680396
CUIB,VERAO,24,2020-01-22,1.3586485538456379,0.8985840252879308,1.697778089117139
CUIB,VERAO,22,2020-01-22,1.1100816576623018,1.3518575578586303,0.40283577588260316
CUIB,VERAO,27,2020-01-29,1.2207752409474435,0.9571891857652209,1.6202623995202452
CUIB,VERAO,6,2020-01-08,0.7092022971109547,1.3086560749603096,1.015950653822238
CUIB,VERAO,8,2020-01-08,1.08903795411943,1.6315545377207543,0.8431126381238111
CUIB,VERAO,11,2020-01-08,0.982963759394211,1.5754705235137432,0.9759466821565702
CUIB,VERAO,30,2020-01-29,1.0743469465551467,1.463077907622555,0.5450613993828245
CUIB,VERAO,28,2020-01-29,0.8893721809338044,1.0966973751811482,0.8817567882158943
CUIB,VERAO,20,2020-01-22,0.807438996118649,1.6914062053285304,0.9698632549797896
CUIB,VERAO,10,2020-01-08,1.0556496635696024,1.5282835729648254,0.7931157739849718
CUIB,VERAO,9,2020-01-08,1.2437283657826879,1.519156970315606,0.9786110460635525
CUIB,VERAO,3,2020-01-01,1.2016691897663732,1.4816581145684182,0.669076368661814
CUIB,VERAO,19,2020-01-22,1.219730555524969,1.8517038426737784,1.8314464743701364
CUIB,VERAO,26,2020-01-29,1.263165616454782,1.0094517793410753,0.6098565074216888
CUIB,VERAO,18,2020-01-15,1.1928627930878033,1.9356306045270881,2.177058562298667
