Metric,Value
Minimum (Q0),0.06429624947689766
Q1 (25%),0.13843441449590047
Median (Q2),0.17441950145174534
Q3 (75%),0.22277637378959989
Maximum (Q4),5.44091705689477
IQR (Q3 - Q1),0.08434195929369942
Lower Bound,0.011921475555351335
Upper Bound,0.349289312730149
Outliers,"3.6703440169719177, 4.743037502967349, 0.35068450536671864, 4.2640730667428635, 5.44091705689477, 4.720313239280161, 3.7631816276290255, 0.3574015087783246, 0.3601883065209275, 4.242142531001538, 4.267324241048811, 3.6113523770351668, 4.065976037511266"
