DOY,RMSE_E,RMSE_N,RMSE_U
198.0,0.3201312163023651,0.2939965568697091,0.1787431575971453
21.0,0.2826480065448872,0.4008491165856327,0.21953679269903165
186.5,0.27757154106069903,0.2142967749243701,0.08561390099999938
16.0,0.35272207751277734,0.24516256766136654,0.13730731632638266
16.0,0.21203758912346984,0.3085642202887673,0.126119270569424
16.0,0.35400856716469403,0.22355186477979888,0.17523508710415225
16.0,0.2968948518787948,0.2786733106998771,0.19306107055510177
16.0,0.24728203330301507,0.2873062802587307,0.2212808414082684
16.0,0.2475438328811961,0.3633450357923595,0.24059997358207716
16.0,0.3647776880816821,0.38663031678988746,0.13750071109113055
16.0,0.39373801053590113,0.2540229343200075,0.14163951177765594
16.0,0.2076566376044038,0.41460949067943104,0.24374601035315083
