DOY,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
198.0,0.18669827265822678,0.1591162241886691,0.393830643665393,0.2536709711132523
21.0,0.19247653239283244,0.17310974219131137,0.47302947671657564,0.266061115620693
186.5,0.26567201002022606,0.08525129322145697,0.2355226763663541,0.2797460430710068
16.0,0.2551175018296412,0.0929947685816652,0.3607147958529845,0.27480524742634244
16.0,0.12858941718978287,0.11654374860189907,0.3554986404842065,0.17652155293118932
16.0,0.21862834100692305,0.10301790077872626,0.3780979200876526,0.24589108623514622
16.0,0.2377266515313114,0.1894421378095599,0.3304058167057903,0.311206603725135
16.0,0.21450027238762917,0.14304967832629084,0.34907341912286205,0.2616666554343387
16.0,0.20819209708336184,0.14141186429465474,0.42941610541716874,0.25604894717195864
16.0,0.27138947775002115,0.13708651746318193,0.4562802343121315,0.3077114602979304
16.0,0.3492291245363823,0.15306937568678236,0.33755977582914093,0.386081470920646
16.0,0.26796338079882775,0.12418958935719239,0.4211469099599733,0.2983876176219679
